st_name,cofid,gas-ads
linker103_C_linker18_C_lcs_relaxed,Cc1ccc2c(c1)C1(c3cc(C)ccc3-2)c2cc(C)ccc2-c2ccc(C)cc21.Cc1cc(N)c(-c2cc(N)c(C)c([N+](=O)[O-])c2)cc1[N+](=O)[O-]&&lcs.cat0,2.8894489967
linker103_C_linker72_C_mmt_relaxed,Cc1ccc2c(c1)C1(c3cc(C)ccc3-2)c2cc(C)ccc2-c2ccc(C)cc21.CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1&&mmt.cat0,2.8661888184
linker104_C_linker2_C_dia_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1ccc(C)c(O)c1&&dia.cat0,2.9253056172
linker104_C_linker12_C_rho_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1c(O)c(O)c(C)c(O)c1O&&rho.cat0,2.7647741162
linker91_C_linker46_C_fxt_relaxed,Cc1nc(C)nc(C)n1.Cc1cnc2c(C)ccc(C)c2n1&&fxt.cat0,2.6767875935
linker110_C_linker64_C_lta_relaxed,CC12CC3(C)CC(C)(C1)CC(C)(C2)C3.Cc1cnc(C)c(C=O)n1&&lta.cat0,2.6914385977
linker111_CO_linker6_NH_sql_relaxed,O=C[Si](C=O)(C=O)C=O.[NH]c1cc([N+](=O)[O-])c([NH])c([N+](=O)[O-])c1&&sql.cat0,2.6706090288
linker100_C_linker26_C_mer_relaxed,Cc1cc(C)c(O)c(-c2cc(C)cc(C)c2O)c1.Cc1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C)cc2[N+](=O)[O-])c([N+](=O)[O-])c1&&mer.cat0,2.9913855373
linker109_CO_linker54_NH_sql_relaxed,O=CC(C=O)(C=O)C=O.CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1&&sql.cat0,2.7734451691
linker102_CH2_linker73_NH_crb_relaxed,[CH2]c1ccc2c(c1)C1(c3cc([CH2])ccc3C2)c2cc([CH2])ccc2Cc2ccc([CH2])cc21.CN(C)C=Nc1nc([NH])cnc1[NH]&&crb.cat0,2.6445347623
linker101_NH_linker70_CH2_qtz_relaxed,[NH]c1cc([NH])c(N)c(-c2cc([NH])cc([NH])c2N)c1.[CH2]c1nc(OC)c([CH2])nc1OC&&qtz.cat0,2.9420122599
linker102_CH2_linker80_NH_sod_relaxed,[CH2]c1ccc2c(c1)C1(c3cc([CH2])ccc3C2)c2cc([CH2])ccc2Cc2ccc([CH2])cc21.CC(C)(C)c1nc([NH])[nH]c(=O)c1[NH]&&sod.cat0,2.8128078005
linker104_C_linker68_C_lcv_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1cnc(C)c([N+](=O)[O-])n1&&lcv.cat0,2.7827446888
linker91_CH2_linker12_NH_hcb_relaxed,[CH2]c1nc([CH2])nc([CH2])n1.[NH]c1c(O)c(O)c([NH])c(O)c1O&&hcb.cat0,2.8064780222
linker104_C_linker8_C_lcv_relaxed,Cc1cc(-c2cc(C)c(O)c(C)c2O)c(O)c(C)c1O.Cc1cc([N+](=O)[O-])c(C)cc1[N+](=O)[O-]&&lcv.cat0,2.3600310762
linker106_C_linker75_C_ulj_relaxed,Cc1cc(-c2cc(C)c(N)c(C)c2N)c(N)c(C)c1N.Cc1cnc(C)c(C(=O)[O-])n1&&ulj.cat0,2.7162450233
linker111_CO_linker59_NH_qtz_relaxed_interp_3,O=C[Si](C=O)(C=O)C=O.Cc1nc([NH])cnc1[NH]&&qtz.cat2,2.9021967347
linker100_NH_linker4_CH2_qtz_relaxed,[NH]c1cc([NH])c(O)c(-c2cc([NH])cc([NH])c2O)c1.[CH2]c1ccc([CH2])c([N+](=O)[O-])c1&&qtz.cat0,2.9789767794
